ACCOUNT_ID,DEFAULT_FLAG,COLLATERAL_TYPE,SENIORITY,SECTOR,REGION,ECONOMIC_SEGMENT,EXPOSURE_AT_DEFAULT,COLLATERAL_VALUE,DAYS_PAST_DUE,INTEREST_RATE,RECOVERY_TIME_MONTHS,GUARANTEE_FLAG,LTV_RATIO,LGD_OBS,RECOVERY_RATE,LGD_MODEL_PRED
A0218,1,Corporate,Senior,Retail,North,Subprime,310698.0,218891.0,40,3.33,32,1,1.42,0.256,0.744,0.247
A0219,0,Corporate,Subordinated,Corporate,West,Prime,102087.0,115367.0,253,12.61,13,1,0.88,0.361,0.639,0.371
A0220,1,Mortgage,Senior,Corporate,West,Subprime,152429.0,145598.0,6,9.21,30,1,1.05,0.237,0.763,0.217
A0221,0,None,Senior,SME,North,Prime,113614.0,386134.0,470,7.05,25,1,0.29,0.231,0.769,0.21
A0222,0,Mortgage,Senior,Retail,East,Prime,428714.0,37764.0,510,6.1,21,0,3.0,0.544,0.456,0.547
A0223,0,Vehicle,Senior,Retail,West,Prime,797623.0,413791.0,580,12.81,21,0,1.93,0.559,0.441,0.576
A0224,0,None,Senior,Retail,North,Prime,149970.0,213835.0,68,9.24,28,1,0.7,0.302,0.698,0.322
A0225,0,Vehicle,Senior,Retail,South,Prime,139017.0,298032.0,80,5.69,20,0,0.47,0.417,0.583,0.419
A0226,0,Corporate,Senior,Corporate,South,Prime,646995.0,44826.0,541,13.34,34,0,3.0,0.543,0.457,0.53
A0227,1,Mortgage,Senior,Retail,South,Subprime,205211.0,168680.0,584,11.48,5,0,1.22,0.355,0.645,0.361
A0228,0,Mortgage,Senior,Retail,North,Subprime,106634.0,44850.0,261,15.88,18,0,2.38,0.827,0.173,0.838
A0229,1,None,Senior,Retail,South,Near-Prime,175180.0,480772.0,88,4.76,11,1,0.36,0.265,0.735,0.27
A0230,0,Vehicle,Senior,Retail,West,Prime,924494.0,403631.0,207,14.78,17,0,2.29,0.598,0.402,0.623
A0231,1,None,Senior,SME,South,Prime,823257.0,229816.0,212,13.1,22,0,3.0,0.625,0.375,0.605
A0232,0,Mortgage,Senior,SME,South,Prime,360524.0,111801.0,265,4.73,20,1,3.0,0.362,0.638,0.348
A0233,0,Mortgage,Subordinated,Retail,West,Near-Prime,659263.0,466728.0,292,13.42,6,0,1.41,0.56,0.44,0.582
A0234,0,Mortgage,Subordinated,Retail,South,Subprime,541903.0,172298.0,206,9.62,34,0,3.0,0.759,0.241,0.73
A0235,0,Corporate,Senior,Retail,West,Prime,680353.0,80492.0,332,17.17,14,0,3.0,0.536,0.464,0.525
A0236,1,Mortgage,Senior,Retail,South,Prime,685844.0,281582.0,76,5.12,23,1,2.44,0.347,0.653,0.332
A0237,0,None,Subordinated,Retail,West,Near-Prime,632447.0,471887.0,287,12.64,20,1,1.34,0.539,0.461,0.508
A0238,0,Vehicle,Senior,Public,South,Prime,273440.0,1915.0,46,8.73,13,1,3.0,0.362,0.638,0.358
A0239,0,None,Senior,SME,West,Prime,48616.0,119062.0,621,17.35,32,1,0.41,0.287,0.713,0.302
A0240,0,Mortgage,Senior,SME,North,Near-Prime,461011.0,469224.0,199,7.95,26,0,0.98,0.353,0.647,0.356
A0241,1,None,Subordinated,SME,West,Near-Prime,892064.0,85543.0,426,17.43,14,1,3.0,0.759,0.241,0.775
A0242,1,Corporate,Senior,SME,South,Prime,573802.0,56622.0,209,16.52,8,1,3.0,0.348,0.652,0.372
A0243,1,Corporate,Senior,SME,South,Prime,834067.0,285094.0,419,7.06,22,0,2.93,0.541,0.459,0.533
A0244,0,Corporate,Subordinated,SME,East,Subprime,991708.0,430922.0,153,15.05,22,0,2.3,0.855,0.145,0.908
A0245,0,Corporate,Subordinated,Corporate,West,Prime,171980.0,238555.0,521,17.93,16,1,0.72,0.43,0.57,0.423
A0246,1,Corporate,Senior,Retail,North,Prime,694860.0,497282.0,414,6.79,27,1,1.4,0.136,0.864,0.132
A0247,0,Mortgage,Senior,SME,West,Prime,677551.0,339586.0,352,9.55,10,1,2.0,0.332,0.668,0.318
A0248,1,Mortgage,Subordinated,SME,West,Prime,980156.0,37037.0,156,10.8,25,1,3.0,0.626,0.374,0.637
A0249,1,None,Senior,Corporate,North,Prime,985745.0,496416.0,260,7.42,31,0,1.99,0.711,0.289,0.705
A0250,1,Corporate,Senior,SME,West,Subprime,689812.0,203947.0,76,3.23,21,0,3.0,0.615,0.385,0.613
A0251,0,Corporate,Senior,SME,North,Prime,251179.0,143701.0,487,6.3,27,0,1.75,0.613,0.387,0.609
A0252,0,Vehicle,Subordinated,Retail,North,Prime,800570.0,278940.0,130,7.23,17,0,2.87,0.741,0.259,0.736
A0253,1,Mortgage,Senior,SME,West,Near-Prime,115959.0,152154.0,578,9.65,33,1,0.76,0.098,0.902,0.101
A0254,0,Mortgage,Subordinated,Retail,West,Near-Prime,782892.0,43229.0,454,5.57,31,0,3.0,0.833,0.167,0.824
A0255,0,Corporate,Subordinated,Retail,South,Subprime,911094.0,714.0,162,16.1,26,0,3.0,0.988,0.012,0.98
A0256,0,Vehicle,Senior,Retail,South,Subprime,389005.0,224792.0,14,13.57,21,0,1.73,0.621,0.379,0.642
A0257,1,Mortgage,Senior,SME,East,Prime,634329.0,418432.0,231,4.28,1,0,1.52,0.571,0.429,0.565
A0258,0,Vehicle,Senior,Retail,East,Near-Prime,435841.0,286158.0,194,12.75,4,0,1.52,0.49,0.51,0.498
A0259,0,Mortgage,Senior,Retail,West,Prime,443387.0,499604.0,541,12.8,4,0,0.89,0.304,0.696,0.286
A0260,0,Vehicle,Senior,Corporate,North,Subprime,317267.0,143423.0,358,17.34,26,0,2.21,0.707,0.293,0.698
A0261,0,Mortgage,Subordinated,Retail,East,Prime,764508.0,140228.0,330,3.05,4,0,3.0,0.818,0.182,0.793
A0262,1,Corporate,Senior,SME,West,Subprime,936815.0,79875.0,426,6.72,9,1,3.0,0.508,0.492,0.545
A0263,0,Mortgage,Subordinated,SME,East,Near-Prime,941343.0,82032.0,496,16.92,30,0,3.0,0.854,0.146,0.882
A0264,0,Vehicle,Senior,Retail,North,Prime,183033.0,142593.0,485,16.98,4,0,1.28,0.246,0.754,0.258
A0265,1,Mortgage,Senior,Corporate,West,Near-Prime,875996.0,396420.0,448,13.81,5,0,2.21,0.49,0.51,0.533
A0266,1,Mortgage,Senior,Retail,North,Subprime,740057.0,452878.0,412,14.49,23,0,1.63,0.664,0.336,0.679
A0267,0,Mortgage,Senior,SME,West,Subprime,260309.0,487544.0,329,4.37,16,0,0.53,0.365,0.635,0.362
A0268,1,Vehicle,Senior,SME,East,Prime,76612.0,116145.0,146,10.71,22,1,0.66,0.097,0.903,0.104
A0269,0,Corporate,Senior,SME,South,Near-Prime,275317.0,440649.0,258,6.47,8,1,0.62,0.221,0.779,0.248
A0270,0,Mortgage,Senior,SME,East,Prime,913086.0,164128.0,291,5.72,33,0,3.0,0.523,0.477,0.505
A0271,1,Corporate,Senior,Retail,East,Prime,636847.0,56420.0,142,15.15,16,0,3.0,0.586,0.414,0.563
A0272,1,None,Senior,Retail,South,Prime,723844.0,435012.0,626,5.03,5,1,1.66,0.499,0.501,0.507
A0273,1,Corporate,Senior,Corporate,South,Prime,264581.0,318053.0,364,10.03,16,1,0.83,0.116,0.884,0.104
A0274,1,Mortgage,Senior,SME,West,Subprime,722194.0,82365.0,89,17.08,7,0,3.0,0.567,0.433,0.522
A0275,0,Vehicle,Subordinated,Corporate,West,Prime,37840.0,214916.0,719,5.79,1,0,0.18,0.612,0.388,0.587
A0276,0,Mortgage,Senior,Corporate,North,Subprime,381568.0,143629.0,163,17.67,9,0,2.66,0.723,0.277,0.717
A0277,1,Mortgage,Senior,Corporate,North,Prime,630486.0,368397.0,480,17.91,18,0,1.71,0.517,0.483,0.518
A0278,0,None,Senior,SME,East,Prime,154636.0,226708.0,83,11.33,3,0,0.68,0.503,0.497,0.505
A0279,1,Mortgage,Senior,Retail,South,Prime,824774.0,494640.0,76,5.55,24,0,1.67,0.474,0.526,0.514
A0280,1,Vehicle,Senior,Corporate,North,Prime,242681.0,27372.0,672,7.74,28,0,3.0,0.516,0.484,0.512
A0281,1,Corporate,Senior,SME,East,Prime,655758.0,177508.0,516,9.37,10,0,3.0,0.567,0.433,0.573
A0282,0,Corporate,Senior,Retail,South,Prime,411145.0,240950.0,484,7.64,9,1,1.71,0.387,0.613,0.354
A0283,0,Vehicle,Senior,Corporate,West,Near-Prime,600083.0,251567.0,589,7.21,13,1,2.39,0.378,0.622,0.377
A0284,0,Mortgage,Senior,Corporate,East,Prime,116376.0,157968.0,602,17.58,35,0,0.74,0.248,0.752,0.255
A0285,0,Mortgage,Senior,SME,West,Prime,26744.0,364620.0,598,5.3,23,1,0.07,0.127,0.873,0.099
A0286,0,Vehicle,Senior,Retail,North,Prime,910469.0,437374.0,103,14.0,17,0,2.08,0.502,0.498,0.483
A0287,0,Mortgage,Subordinated,Retail,North,Subprime,276934.0,469360.0,451,3.01,7,1,0.59,0.485,0.515,0.495
A0288,0,Mortgage,Senior,Corporate,South,Subprime,821480.0,402547.0,486,11.94,16,0,2.04,0.644,0.356,0.633
A0289,0,Mortgage,Senior,Corporate,East,Prime,999357.0,425290.0,338,16.74,20,0,2.35,0.603,0.397,0.601
A0290,0,Mortgage,Senior,Retail,West,Prime,219317.0,275273.0,686,7.32,24,0,0.8,0.365,0.635,0.376
A0291,0,Mortgage,Senior,Retail,South,Prime,272519.0,412944.0,565,5.78,5,0,0.66,0.421,0.579,0.462
A0292,0,Mortgage,Senior,Corporate,North,Subprime,666231.0,151752.0,477,12.78,6,1,3.0,0.415,0.585,0.411
A0293,1,Vehicle,Senior,Retail,North,Prime,965794.0,199239.0,606,13.69,28,0,3.0,0.479,0.521,0.514
A0294,0,Corporate,Senior,SME,East,Prime,916656.0,158457.0,222,13.32,5,0,3.0,0.623,0.377,0.584
A0295,0,Corporate,Senior,Public,West,Prime,507847.0,233694.0,8,7.79,2,0,2.17,0.572,0.428,0.575
A0296,0,Mortgage,Senior,Retail,East,Prime,797159.0,142790.0,52,6.78,21,0,3.0,0.513,0.487,0.506
A0297,1,Mortgage,Senior,SME,West,Prime,144388.0,480806.0,76,17.34,18,0,0.3,0.372,0.628,0.361
A0298,0,Mortgage,Senior,Retail,West,Near-Prime,977664.0,156422.0,717,16.85,12,0,3.0,0.592,0.408,0.605
A0299,0,Corporate,Senior,Retail,East,Prime,964710.0,49022.0,502,9.86,17,1,3.0,0.356,0.644,0.352
A0300,0,Corporate,Senior,Corporate,South,Near-Prime,172092.0,263409.0,315,15.69,15,1,0.65,0.114,0.886,0.074
A0301,0,Mortgage,Subordinated,SME,East,Prime,306429.0,28550.0,623,9.78,7,1,3.0,0.578,0.422,0.546
A0302,0,None,Senior,Public,East,Prime,109153.0,55272.0,164,9.37,14,0,1.97,0.715,0.285,0.729
A0303,0,Mortgage,Senior,SME,North,Subprime,279000.0,109695.0,278,5.35,1,1,2.54,0.46,0.54,0.427
A0304,0,Vehicle,Senior,Retail,North,Prime,817796.0,232175.0,26,9.4,3,0,3.0,0.611,0.389,0.626
A0305,1,Corporate,Subordinated,Retail,East,Subprime,384532.0,216625.0,69,11.06,31,0,1.78,0.886,0.114,0.888
A0306,1,None,Senior,Retail,East,Near-Prime,97513.0,399846.0,217,3.34,13,0,0.24,0.452,0.548,0.449
A0307,0,Corporate,Senior,Retail,North,Prime,348803.0,369737.0,364,9.66,18,1,0.94,0.279,0.721,0.277
A0308,0,Corporate,Senior,Retail,West,Subprime,981570.0,213159.0,700,14.72,17,1,3.0,0.459,0.541,0.469
A0309,1,Mortgage,Senior,Retail,East,Prime,633387.0,166852.0,305,13.2,17,1,3.0,0.392,0.608,0.368
A0310,0,Corporate,Senior,SME,South,Subprime,421999.0,158234.0,123,12.53,11,1,2.67,0.476,0.524,0.477
A0311,0,Mortgage,Senior,Corporate,South,Prime,174873.0,386998.0,18,16.64,20,1,0.45,0.159,0.841,0.136
A0312,0,None,Subordinated,SME,South,Subprime,986315.0,26036.0,256,3.27,10,1,3.0,0.839,0.161,0.842
A0313,0,Vehicle,Senior,Corporate,East,Prime,822641.0,6411.0,295,11.36,29,0,3.0,0.41,0.59,0.423
A0314,1,Corporate,Senior,Retail,West,Near-Prime,288663.0,397772.0,21,14.81,34,0,0.73,0.297,0.703,0.3
A0315,1,Vehicle,Subordinated,Retail,West,Near-Prime,79368.0,238573.0,449,11.12,17,0,0.33,0.616,0.384,0.628
A0316,0,Corporate,Senior,SME,North,Subprime,66059.0,65441.0,551,7.86,13,0,1.01,0.314,0.686,0.3
A0317,0,Vehicle,Senior,SME,East,Subprime,129174.0,117783.0,549,5.04,27,0,1.1,0.454,0.546,0.453
A0318,0,Corporate,Senior,Retail,West,Subprime,584961.0,466252.0,47,16.31,26,0,1.25,0.483,0.517,0.478
A0319,0,Mortgage,Senior,Corporate,East,Subprime,929476.0,429751.0,694,10.06,28,0,2.16,0.692,0.308,0.686
A0320,0,Mortgage,Senior,Corporate,North,Prime,501776.0,354893.0,586,16.17,13,1,1.41,0.18,0.82,0.164
A0321,0,Mortgage,Subordinated,SME,North,Prime,844516.0,241113.0,182,11.79,12,1,3.0,0.648,0.352,0.639
A0322,1,Mortgage,Senior,Retail,North,Prime,451428.0,260162.0,434,13.11,28,0,1.74,0.63,0.37,0.608
A0323,0,None,Senior,Corporate,South,Prime,711498.0,487622.0,106,15.06,2,0,1.46,0.555,0.445,0.521
A0324,0,Mortgage,Senior,SME,East,Prime,734554.0,482885.0,187,12.89,34,0,1.52,0.56,0.44,0.546
A0325,1,None,Subordinated,Corporate,North,Near-Prime,182224.0,107635.0,85,8.97,23,0,1.69,0.943,0.057,0.956
A0326,1,Mortgage,Subordinated,Corporate,East,Prime,367604.0,405552.0,455,10.7,29,1,0.91,0.406,0.594,0.411
A0327,0,Mortgage,Subordinated,Corporate,South,Near-Prime,640929.0,98621.0,136,15.05,35,0,3.0,0.786,0.214,0.761
A0328,0,Corporate,Senior,SME,South,Prime,79990.0,106769.0,335,8.6,11,0,0.75,0.406,0.594,0.398
A0329,0,Corporate,Senior,Retail,North,Prime,367925.0,338047.0,606,8.82,33,1,1.09,0.179,0.821,0.193
A0330,0,Vehicle,Senior,SME,North,Near-Prime,539451.0,202501.0,468,4.44,11,1,2.66,0.331,0.669,0.322
A0331,0,Vehicle,Senior,SME,West,Near-Prime,996262.0,465772.0,601,16.72,9,0,2.14,0.616,0.384,0.588
A0332,1,Corporate,Senior,Corporate,East,Near-Prime,479788.0,44505.0,570,4.37,14,1,3.0,0.335,0.665,0.38
A0333,0,Mortgage,Senior,Retail,North,Near-Prime,817896.0,255763.0,402,12.72,9,0,3.0,0.503,0.497,0.5
A0334,0,None,Senior,Retail,West,Prime,437747.0,459261.0,539,9.2,3,0,0.95,0.499,0.501,0.476
A0335,0,None,Senior,Corporate,East,Near-Prime,798427.0,452057.0,71,9.08,29,0,1.77,0.659,0.341,0.662
A0336,0,Corporate,Senior,Corporate,North,Prime,599461.0,78265.0,23,13.19,19,0,3.0,0.597,0.403,0.595
A0337,1,Mortgage,Senior,Corporate,West,Prime,887729.0,183319.0,623,4.01,32,0,3.0,0.508,0.492,0.477
A0338,1,Corporate,Senior,Corporate,West,Prime,416833.0,309561.0,484,11.91,7,0,1.35,0.344,0.656,0.346
A0339,0,Mortgage,Senior,SME,East,Prime,608261.0,79697.0,55,14.58,28,0,3.0,0.597,0.403,0.617
A0340,0,Mortgage,Senior,SME,West,Prime,633718.0,484011.0,222,15.42,18,1,1.31,0.114,0.886,0.109
A0341,0,Mortgage,Subordinated,Corporate,East,Subprime,423209.0,457375.0,631,5.56,5,0,0.93,0.721,0.279,0.68
A0342,0,Vehicle,Senior,SME,East,Subprime,152869.0,83475.0,178,16.46,23,0,1.83,0.601,0.399,0.608
A0343,0,None,Senior,SME,East,Prime,102624.0,60578.0,433,12.84,22,1,1.69,0.512,0.488,0.524
A0344,0,Corporate,Senior,Retail,South,Prime,26505.0,42704.0,449,16.23,26,0,0.62,0.378,0.622,0.366
A0345,0,Corporate,Subordinated,SME,West,Prime,874799.0,454722.0,491,10.28,12,1,1.92,0.598,0.402,0.586
A0346,0,Vehicle,Senior,Corporate,East,Prime,244110.0,96812.0,188,11.13,19,0,2.52,0.552,0.448,0.597
A0347,0,Mortgage,Senior,Retail,North,Subprime,219392.0,208142.0,577,16.79,1,0,1.05,0.472,0.528,0.459
A0348,0,Mortgage,Senior,Retail,South,Prime,738675.0,224426.0,419,16.5,3,0,3.0,0.536,0.464,0.514
A0349,0,None,Senior,Retail,South,Near-Prime,326816.0,299506.0,248,9.72,27,0,1.09,0.544,0.456,0.545
A0350,0,Mortgage,Senior,Retail,West,Prime,510984.0,35868.0,587,7.12,18,0,3.0,0.619,0.381,0.63
A0351,0,None,Senior,Retail,East,Subprime,170886.0,113379.0,648,8.9,30,0,1.51,0.754,0.246,0.765
A0352,1,Vehicle,Subordinated,SME,West,Prime,960148.0,465745.0,163,8.82,2,0,2.06,0.888,0.112,0.839
A0353,0,Vehicle,Senior,Corporate,South,Near-Prime,853066.0,454205.0,254,7.3,5,0,1.88,0.535,0.465,0.522
A0354,0,Corporate,Subordinated,SME,East,Prime,865152.0,390645.0,475,7.03,29,0,2.21,0.9,0.1,0.923
A0355,0,Vehicle,Senior,Retail,North,Near-Prime,412706.0,9701.0,416,15.92,33,0,3.0,0.536,0.464,0.543
A0356,0,None,Senior,Retail,East,Prime,764738.0,163503.0,169,4.05,20,0,3.0,0.735,0.265,0.71
A0357,0,None,Subordinated,SME,South,Prime,152437.0,313979.0,316,13.16,30,0,0.49,0.785,0.215,0.81
A0358,0,Vehicle,Senior,Retail,North,Subprime,18533.0,137595.0,173,5.59,5,0,0.13,0.431,0.569,0.45
A0359,1,Mortgage,Senior,Corporate,East,Subprime,29773.0,454793.0,469,8.17,21,0,0.07,0.454,0.546,0.448
A0360,0,Vehicle,Senior,SME,North,Subprime,590736.0,316945.0,344,3.92,15,1,1.86,0.522,0.478,0.54
A0361,0,None,Senior,Corporate,North,Near-Prime,460841.0,35953.0,444,7.05,20,0,3.0,0.684,0.316,0.724
A0362,0,Mortgage,Senior,Retail,South,Subprime,522835.0,454503.0,17,14.53,8,1,1.15,0.229,0.771,0.208
A0363,0,Corporate,Senior,SME,North,Prime,17389.0,478883.0,69,16.28,31,0,0.04,0.292,0.708,0.303
A0364,0,Corporate,Senior,Retail,West,Prime,428460.0,38856.0,337,6.32,12,0,3.0,0.628,0.372,0.668
A0365,1,Corporate,Senior,Corporate,South,Prime,720887.0,266180.0,627,9.95,21,0,2.71,0.526,0.474,0.539
A0366,0,Mortgage,Senior,SME,West,Near-Prime,448267.0,151682.0,591,10.05,30,1,2.96,0.41,0.59,0.395
A0367,1,Corporate,Senior,Retail,North,Prime,734897.0,196420.0,526,16.1,27,0,3.0,0.52,0.48,0.525
A0368,1,None,Senior,Retail,West,Prime,240689.0,89826.0,687,14.44,26,0,2.68,0.758,0.242,0.785
A0369,0,Mortgage,Senior,Retail,East,Near-Prime,815011.0,289036.0,455,10.7,33,0,2.82,0.59,0.41,0.57
A0370,0,Mortgage,Senior,SME,North,Subprime,592547.0,478990.0,268,13.06,26,0,1.24,0.439,0.561,0.438
A0371,0,None,Senior,Retail,East,Prime,218655.0,251536.0,630,15.71,26,0,0.87,0.463,0.537,0.458
A0372,0,Mortgage,Subordinated,SME,West,Prime,244353.0,41457.0,187,3.14,1,0,3.0,0.767,0.233,0.754
A0373,0,None,Senior,Retail,East,Prime,631750.0,310001.0,568,9.04,15,0,2.04,0.667,0.333,0.672
A0374,0,Vehicle,Senior,SME,North,Prime,831640.0,170111.0,710,16.61,1,0,3.0,0.603,0.397,0.601
A0375,0,Mortgage,Senior,Corporate,East,Prime,421472.0,427963.0,528,14.1,11,0,0.98,0.358,0.642,0.371
A0376,0,None,Senior,Corporate,West,Near-Prime,265717.0,217339.0,433,11.14,2,1,1.22,0.244,0.756,0.267
A0377,1,Vehicle,Senior,Corporate,West,Near-Prime,868341.0,96420.0,287,10.94,1,1,3.0,0.337,0.663,0.312
A0378,0,Vehicle,Subordinated,Retail,West,Near-Prime,672576.0,95553.0,566,8.22,31,0,3.0,0.793,0.207,0.794
A0379,1,Mortgage,Senior,Retail,North,Prime,453605.0,384382.0,498,10.81,16,0,1.18,0.243,0.757,0.242
A0380,0,Vehicle,Subordinated,SME,West,Subprime,493021.0,132794.0,440,12.83,22,1,3.0,0.69,0.31,0.694
A0381,0,Mortgage,Subordinated,Retail,North,Prime,212214.0,383617.0,302,9.28,18,0,0.55,0.636,0.364,0.636
A0382,0,Mortgage,Subordinated,SME,East,Prime,630535.0,102944.0,86,13.71,17,0,3.0,0.793,0.207,0.773
A0383,0,None,Subordinated,Retail,West,Subprime,365155.0,160843.0,437,15.92,30,1,2.27,0.863,0.137,0.892
A0384,1,Mortgage,Senior,Retail,East,Prime,995689.0,232743.0,540,5.32,10,0,3.0,0.574,0.426,0.612
A0385,1,Corporate,Senior,Retail,South,Prime,485382.0,471598.0,21,9.77,35,0,1.03,0.333,0.667,0.344
A0386,1,Mortgage,Senior,Corporate,East,Subprime,491027.0,465866.0,559,9.12,21,1,1.05,0.287,0.713,0.299
A0387,0,Corporate,Senior,Retail,South,Prime,570193.0,103436.0,516,13.31,16,0,3.0,0.623,0.377,0.626
A0388,0,Mortgage,Senior,SME,East,Near-Prime,917588.0,179110.0,674,6.75,6,1,3.0,0.274,0.726,0.293
A0389,1,None,Senior,Retail,North,Prime,802810.0,74700.0,502,12.6,3,1,3.0,0.483,0.517,0.434
A0390,1,Vehicle,Senior,SME,East,Near-Prime,456619.0,254993.0,713,16.16,21,1,1.79,0.466,0.534,0.466
A0391,1,Mortgage,Senior,Retail,North,Prime,721512.0,230291.0,466,9.27,13,0,3.0,0.559,0.441,0.548
A0392,0,Mortgage,Senior,Corporate,North,Prime,590373.0,450380.0,100,16.67,18,0,1.31,0.348,0.652,0.351
A0393,0,Mortgage,Senior,Corporate,West,Near-Prime,497443.0,465003.0,582,17.9,24,0,1.07,0.337,0.663,0.359
A0394,1,Vehicle,Senior,Retail,North,Prime,200393.0,191784.0,674,4.59,27,0,1.04,0.414,0.586,0.414
A0395,0,Mortgage,Subordinated,Corporate,South,Prime,469297.0,245869.0,684,6.5,4,0,1.91,0.753,0.247,0.746
A0396,1,Corporate,Senior,Public,West,Prime,253360.0,448118.0,140,17.26,22,0,0.57,0.396,0.604,0.368
A0397,1,Vehicle,Senior,Corporate,West,Prime,915694.0,403354.0,137,17.37,24,0,2.27,0.536,0.464,0.534
A0398,0,Mortgage,Senior,Corporate,East,Prime,342053.0,1828.0,577,4.47,10,0,3.0,0.513,0.487,0.526
A0399,1,Corporate,Senior,Retail,North,Prime,952741.0,160030.0,709,3.22,2,0,3.0,0.538,0.462,0.521
A0400,1,Corporate,Senior,SME,North,Subprime,537725.0,210887.0,227,5.42,6,1,2.55,0.448,0.552,0.408
A0401,0,Mortgage,Senior,Retail,South,Prime,635229.0,114858.0,280,17.94,18,1,3.0,0.325,0.675,0.37
A0402,1,Mortgage,Senior,Retail,East,Prime,547511.0,99786.0,683,5.7,17,1,3.0,0.406,0.594,0.413
A0403,0,Mortgage,Senior,Public,East,Prime,138087.0,18892.0,430,10.54,23,0,3.0,0.513,0.487,0.509
A0404,1,Corporate,Senior,Retail,West,Prime,382063.0,321685.0,39,15.73,30,1,1.19,0.157,0.843,0.185
A0405,0,Corporate,Senior,Corporate,West,Subprime,108155.0,131255.0,518,3.31,21,1,0.82,0.277,0.723,0.28
A0406,1,Vehicle,Senior,Corporate,West,Prime,626725.0,26174.0,685,12.07,10,0,3.0,0.556,0.444,0.583
A0407,0,Corporate,Senior,Corporate,South,Subprime,452405.0,115490.0,662,7.16,13,0,3.0,0.689,0.311,0.714
A0408,0,Corporate,Senior,Public,South,Prime,780205.0,400957.0,210,15.94,12,0,1.95,0.528,0.472,0.503
A0409,1,Vehicle,Subordinated,Retail,West,Near-Prime,228266.0,425745.0,301,7.25,9,0,0.54,0.631,0.369,0.64
A0410,0,None,Senior,Retail,East,Near-Prime,172920.0,241533.0,85,13.3,4,0,0.72,0.533,0.467,0.568
A0411,0,Mortgage,Senior,SME,South,Subprime,412269.0,208035.0,396,13.11,24,0,1.98,0.698,0.302,0.678
A0412,1,Mortgage,Senior,Retail,East,Near-Prime,927320.0,488927.0,252,6.32,34,1,1.9,0.256,0.744,0.236
A0413,1,Mortgage,Senior,Retail,East,Near-Prime,713318.0,100282.0,532,3.52,5,0,3.0,0.575,0.425,0.559
A0414,0,Mortgage,Senior,Retail,North,Prime,424734.0,107680.0,380,9.14,15,0,3.0,0.595,0.405,0.613
A0415,0,Vehicle,Senior,Corporate,West,Prime,522099.0,145934.0,443,7.34,4,1,3.0,0.329,0.671,0.335
A0416,0,None,Subordinated,SME,North,Subprime,93371.0,86379.0,32,15.13,8,0,1.08,0.823,0.177,0.784
A0417,0,Mortgage,Senior,Retail,West,Prime,984730.0,189683.0,259,15.01,24,1,3.0,0.315,0.685,0.322
A0418,0,Mortgage,Senior,SME,West,Prime,669743.0,455417.0,233,9.86,28,0,1.47,0.298,0.702,0.293
A0419,0,Vehicle,Senior,Retail,East,Near-Prime,292550.0,307674.0,514,12.1,27,1,0.95,0.183,0.817,0.181
A0420,1,None,Senior,Retail,West,Prime,589950.0,205973.0,307,12.06,1,0,2.86,0.814,0.186,0.797
A0421,1,Mortgage,Senior,Corporate,East,Subprime,118388.0,467205.0,69,15.41,34,0,0.25,0.422,0.578,0.429
A0422,1,Vehicle,Senior,SME,East,Near-Prime,966178.0,24232.0,453,9.38,17,0,3.0,0.527,0.473,0.548
A0423,0,Mortgage,Subordinated,Corporate,West,Near-Prime,183037.0,105138.0,438,7.13,26,1,1.74,0.601,0.399,0.588
A0424,0,Mortgage,Senior,Retail,East,Subprime,651550.0,282944.0,363,6.98,24,1,2.3,0.37,0.63,0.336
A0425,0,None,Senior,Corporate,East,Prime,253000.0,307776.0,480,11.04,21,0,0.82,0.465,0.535,0.459
A0426,0,None,Subordinated,SME,East,Prime,720386.0,19779.0,143,9.74,30,1,3.0,0.747,0.253,0.762
A0427,0,Mortgage,Senior,SME,South,Prime,779053.0,201519.0,23,9.6,13,0,3.0,0.505,0.495,0.497
A0428,1,None,Subordinated,SME,East,Prime,676686.0,324577.0,424,4.37,3,0,2.08,1.0,0.0,0.97
A0429,0,Corporate,Senior,Corporate,South,Near-Prime,618354.0,349035.0,174,13.78,32,1,1.77,0.285,0.715,0.3
A0430,0,None,Subordinated,SME,South,Subprime,893544.0,319070.0,324,6.21,35,0,2.8,1.0,0.0,1.0
A0431,0,Vehicle,Senior,SME,East,Prime,87840.0,160282.0,670,5.95,19,0,0.55,0.423,0.577,0.423
A0432,1,Vehicle,Subordinated,Public,East,Prime,337606.0,46760.0,347,9.19,14,1,3.0,0.619,0.381,0.587
A0433,0,Vehicle,Subordinated,Corporate,South,Subprime,255805.0,213556.0,17,6.42,22,1,1.2,0.493,0.507,0.487
A0434,0,Corporate,Senior,SME,South,Prime,988134.0,64377.0,43,11.76,17,1,3.0,0.362,0.638,0.365
A0435,0,Mortgage,Subordinated,Corporate,East,Prime,395496.0,473812.0,154,8.57,4,1,0.83,0.378,0.622,0.362
A0436,1,Mortgage,Senior,Retail,East,Prime,735287.0,237585.0,376,9.73,19,0,3.0,0.448,0.552,0.46
A0437,0,Mortgage,Senior,Retail,West,Subprime,687878.0,158630.0,401,11.06,2,1,3.0,0.401,0.599,0.383
A0438,1,Corporate,Senior,SME,South,Near-Prime,219960.0,383152.0,224,6.05,15,0,0.57,0.349,0.651,0.35
